openalex_id,doi,title,year,journal,cited_by,relevance
W4286716912,10.3389/fevo.2022.939408,Bats adjust echolocation and social call design as a response to urban environments,2022,Frontiers in Ecology and Evolution,10,35.62
W4416266465,10.1016/j.rineng.2025.108142,Modern mosque design proposal and investigation of acoustic comfort conditions,2025,Results in Engineering,1,35.56
W2028316452,10.1111/j.1548-7458.2009.01022.x,Oak Park Stories Directed by Jay Ruby,2009,Visual Anthropology Review,1,35.46
W2981918543,10.1097/01.ee9.0000608120.50052.1d,"Associations of exposure to surrounding green, air pollution and traffic noise with mortality in a large national health survey",2019,Environmental Epidemiology,3,35.03
W2789531883,10.1080/19386362.2018.1433347,Urban noises and earthquakes effects on dynamic slope stability – a case study: Arash-Esfandiar tunnel,2018,International Journal of Geotechnical Engineering,1,34.99
W4312212629,10.21834/ebpj.v7i22.4161,"Environmental Noise in Residential Environments: The Case for Quality of Life in Minna, Nigeria",2022,Environment-Behaviour Proceedings Journal,2,34.6
W4288037968,10.1080/19463138.2022.2103821,Conceptualising sound making and sound loss in the urban heritage environment,2022,International Journal of Urban Sustainable Development,7,34.45
W2096304082,10.1016/j.trd.2015.09.007,"On the electrification of road transportation – A review of the environmental, economic, and social performance of electric two-wheelers",2015,Transportation Research Part D Transport and Environment,242,34.38
W2807978053,10.1016/j.euroneuro.2017.12.120,GPS-triggered electronic diaries and neuroscience to unravel risk and resilience factors of city dwellers mental health in everyday life,2018,European Neuropsychopharmacology,5,34.3
W2058017918,10.1186/s12889-015-1788-0,Cross-sectional associations between residential environmental exposures and cardiovascular diseases,2015,BMC Public Health,90,34.04
W3120736114,10.1016/j.scitotenv.2020.144554,"Little parental response to anthropogenic noise in an urban songbird, but evidence for individual differences in sensitivity",2021,The Science of The Total Environment,13,33.74
W4311855817,10.1108/jedt-06-2022-0323,Residential satisfaction of vertical urban settlements in Hong Kong,2022,Journal of Engineering Design and Technology,7,33.28
W4388743294,10.1016/j.yhbeh.2023.105453,Noise and light pollution elicit endocrine responses in urban but not forest frogs,2023,Hormones and Behavior,7,32.86
W2132032728,10.12691/wjee-1-1-2,Effective Noise Control Measures and Sustainable Development in Nigeria,2013,World journal of environmental engineering,39,31.96
W2098660189,10.1186/s12983-014-0083-8,Song characteristics track bill morphology along a gradient of urbanization in house finches (Haemorhous mexicanus),2014,Frontiers in Zoology,70,31.94
W3106676655,10.1515/noise-2020-0022,Hitting the ‘pause’ button: What does COVID-19 tell us about the future of heritage sounds?,2020,Noise Mapping,27,31.8
W3157092917,10.1111/ibi.12949,A global synthesis of the impacts of urbanization on bird dawn choruses,2021,Ibis,35,31.4
W4391135587,10.1007/s11252-024-01515-3,Song amplitude variation in Masked Gnatcatcher (Polioptila dumicola) as response to traffic noise,2024,Urban Ecosystems,1,30.83
W4404717521,10.7717/peerj.18558,Divergent effects of short-term and continuous anthropogenic noise exposure on Western Bluebird parental care behavior,2024,PeerJ,4,30.76
W4409292477,10.3389/fpsyg.2025.1553296,How does urban blue space affect human well-being? A study based on the stimulus-organism-response theory,2025,Frontiers in Psychology,9,30.28
W4411592182,10.5050/ksnve.2025.35.3.298,Microscopic Approach to Analyze the Impact of Lane Change on Road Traffic Noise,2025,Transactions of the Korean Society for Noise and Vibration Engineering,1,30.17
W4392891551,10.1016/j.heliyon.2024.e27918,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling,2024,Heliyon,5,30.11
W2921552023,10.20961/arst.v16i1.20092,WWR OPTIMIZATION FOR VENTILATION AND ENVIRONMENTAL NOISE CONTROL OF TROPICAL DWELLING,2018,Arsitektura,1,30.09
W4389348209,10.1111/jav.03182,Effect sizes of divergence in urban noise and song minimum frequency of grey‐cheeked fulvettas <i>Alcippe morrisonia morrisonia</i>,2023,Journal of Avian Biology,1,29.71
W4410583020,10.1016/j.trd.2025.104806,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,2025,Transportation Research Part D Transport and Environment,10,29.44
W2141047270,10.1121/1.1863032,Theory and design of sound field reproduction in reverberant rooms,2005,The Journal of the Acoustical Society of America,209,29.3
W1970884783,10.1016/0160-4120(95)00108-5,"Transportation noise, sleep, and possible after-effects",1996,Environment International,85,28.95
W2988998296,10.1121/1.5137045,Singing in the city: Trade-offs between signal salience and vocal performance in the presence of anthropogenic noise,2019,The Journal of the Acoustical Society of America,1,28.92
W4247802526,10.1016/j.cub.2019.07.018,Noise pollution,2019,Current Biology,101,28.14
W1982320825,10.1111/2041-210x.12384,Assessing the performance of a semi‐automated acoustic monitoring system for primates,2015,Methods in Ecology and Evolution,176,28.1
W4413475043,10.12933/therya_notes-25-202,"First record and detailed description of calls from the Bolivian bamboo rat Dactylomys boliviensis in Carrasco National Park, Bolivia",2025,Therya notes,1,27.66
W2808926502,10.1016/j.envres.2018.06.031,Pathways linking residential noise and air pollution to mental ill-health in young adults,2018,Environmental Research,121,27.28
W3134661113,10.1007/s40572-021-00307-7,"Built Environment, Transport, and COVID-19: a Review",2021,Current Environmental Health Reports,76,27.19
W2418168808,10.1111/mam.12072,Roads and bats: a meta‐analysis and review of the evidence on vehicle collisions and barrier effects,2016,Mammal Review,119,27.1
W3210637115,10.17271/2318847297220212964,Automotive traffic noise and urban public spaces,2021,Revista Nacional de Gerenciamento de Cidades,0,26.51
W4387218914,10.33736/jcshd.5933.2023,The Effects of Background Music on The Screen-Based Reading Material Among University Students: An Eye Tracking Study,2023,Journal of Cognitive Sciences and Human Development,1,26.42
W4385851842,10.1121/10.0020725,Daytime boat sound does not affect the behavior of wild thorny oysters (<i>Spondylus americanus</i>): A field-based study,2023,The Journal of the Acoustical Society of America,2,26.35
W4408727900,10.1038/s41370-025-00765-3,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,2025,Journal of Exposure Science & Environmental Epidemiology,1,26.24
W7153758886,10.1016/j.jum.2026.04.003,Assessing the impact of landscape context on soundscape quality in multifunctional urban open spaces,2026,Journal of Urban Management,0,26.02
W4399682232,10.1111/eea.13487,Spatial and temporal variation in ambient vibratory noise and its impact potential on a common urban arthropod,2024,Entomologia Experimentalis et Applicata,9,25.77
