no,sources,doi,year,journal,title,abstract
817,wos,10.3389/fevo.2022.1058584,2022,FRONTIERS IN ECOLOGY AND EVOLUTION,Differential effects of anthropogenic noise and vegetation cover on the breeding phenology and success of two urban passerines,"The urban environment is associated with a multitude of challenges and stressors for populations of wild species from the surrounding natural environment. Among those, habitat fragmentation and noise pollution are suspected to have negative effects on the behavior and physiology of free-living birds in urban areas. Exposure in early life and chronic exposure to anthropogenic noise could be particularly deleterious, with short-and long-term consequences. In this study, we investigated if noise levels in city parks affect the distribution and reproductive success of two common bird species in the urban environment, the great tit (Parus major) and the blue tit (Cyanistes caeruleus) and if vegetation cover could mitigate those effects. We predicted that high noise levels might correlate with a decreased nest-box occupancy rate, a delayed laying date or a decreased clutch size, hatching, and fledging success. On the contrary, vegetation cover was expected to correlate positively with nest occupancy rate, advanced laying date, increased clutch size, hatching, and fledging success. We used data from population monitoring collected between 2012 and 2019 in parks and green public spaces in the city center and suburbs of Paris, France, and did not find any correlation between nest occupancy rates and noise levels or vegetation cover for both species. Laying date was not significantly related to anthropogenic noise in any species but was delayed with increasing vegetation cover in the great tit, while we did not find any association with clutch size. Hatching success in blue tits negatively correlated with increasing noise levels, and positively with increasing vegetation coverage. Finally, we did not find any correlation between anthropogenic noise or vegetation cover and the clutch size or fledging success in both species. In this study, two closely related species that share a common environment show a different sensibility to environmental parameters during reproduction, a"
818,scopus+wos,10.3390/land11091505,2022,LAND,"Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou Forest Park, China","Soundscape perception (SP) plays an important role in promoting tourist-place interaction and enhancing tourists’ environmentally responsible behavior (ERB). In this study, we defined SP as a second-order factor and investigated its relationships with place attachment (PA) and tourists’ ERB using structural equation modeling (SEM). Our aim was to identify how a soundscape could be improved to enhance the ERB of forest park tourists. Our results confirm the multidimensionality of SP, i.e., the three subdimensions of physical soundscape perception (PSP), psychological soundscape perception (SSP), and regional soundscape perception (RSP). Furthermore, our SEM results show that PA mediates the effect of the three subdimensions of SP on high-effort ERB (HERB). Our empirical results also reveal that the enhancement of tourists’ SSP will foster their ERB. This study therefore extends the multisensory landscape literature by offering insights into the relationship between SP, PA, and tourists’ ERB. Our findings provide empirical evidence for understanding the influence of SP on tourists’ ERB in forest parks and demonstrate that PA should be considered an important context for soundscape design. © 2022 by the authors."
819,scopus+wos,10.1016/j.apacoust.2022.109129,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China","The impact of urban noise on residents’ physical health and mental condition has gradually become a hot topic of public discussion. A single urban noise monitoring cannot fully reflect the public's actual perception and feeling of noise. In contrast, social perception data can provide indirect data reference for the public's perception of noise. This study first collected and synthesized public noise complaint data from the government complaint platform. Furthermore, the spatial and temporal distribution characteristics of noise complaints in urban blocks were analyzed to explore the relationship between noise complaint behaviours and The Point of Interest (POI) distribution. The results show that: 1) In the time dimension, the total number of complaints at night is 2,157 and that in the daytime is 980. Furthermore, the number of noise complaints at night is much more than the number of noise complaints during the day; 2) In the spatial dimension, different types of noise complaints have obvious aggregation characteristics. Specifically, construction noise complaints are relatively concentrated, with some 1,813 complaints, while life and business noise complaints are scattered, with several 1,324 complaints; 3) Noise complaints have a specific correlation with the distribution of different types of POIs, among which the correlation is highest with living commercial and residential locations; 4) Places with higher and more abundant POIs are prone to higher noise complaints. This study can provide some ideas for promoting the optimization of urban noise problems. © 2022 The Author(s)"
820,pubmed+scopus+wos,10.1016/j.beproc.2022.104763,2022,BEHAVIOURAL PROCESSES,Does the sound environment influence the behaviour of zoo-housed birds? A preliminary investigation of ten species across two zoos,"In the zoo, the sound environment experienced by captive wild animals will contain numerous anthropogenic features that may elicit different responses to those stimulated by naturally created, or more biologically relevant, sounds. Husbandry activities, visitor presence and neighbouring species (free-living and captive) will all influence the sounds around zoo-housed species; an animal's behavioural responses may therefore provide an insight into how its welfare state is influenced by this changing sound environment. This project aimed to investigate how animal behaviour was influenced by the sound environment at two large UK zoos; one situated in a more rural location and the other in an urban location. Species were selected based on their location in the zoo, the relevance of sound to their natural ecology (e.g., as a form of communication and/or for anti-predator responses) and their novelty as research subjects in the scientific literature. Behavioural data collection was conducted for five days per enclosure per zoo at the population and individual level for birds housed in different styles of enclosure. Instantaneous sampling at one-minute intervals was used to collect information on state behaviours, assessed using a pre-determined species-specific ethogram. Event behaviours were collected continuously for each observation period. The sound environment around or in the enclosure was recorded continuously during each behavioural recording session using a recorder mounted on a tripod. Results showed a variety of responses to the presence of visitors and potential associated changes to sound around the enclosure with some behaviours being more influenced by the presence of visitors (and increases in the volume of sound) compared to others, e.g., vigilance and vocalisations. Overall, birds showed few of the changes thought to indicate poor or impoverished welfare states linked to changes to the sound environment in their enclosure or to the presence of visitors, "
821,scopus+wos,10.3390/su142215125,2022,SUSTAINABILITY,"Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evidence from Huolu Mountain Forest Park, Guangzhou","Urban Forest parks are indispensable areas in cities and have ecological and social advantages, and the quality of their acoustic landscapes is an important factor influencing visitors’ visiting experience. The purpose of this study was to investigate the factors influencing the acoustic landscape on psychological stress relief in selected urban forest parks in China. This study used a questionnaire to construct an index system for psychological stress reduction and designed a questionnaire for the perceived impact of stress-reducing acoustic sources with user perception and stress-reducing restoration evaluation as the entry point. The research team conducted field research and online questionnaire survey on the questionnaire.com platform from 1–5 July 2022, in Huolu Mountain Forest Park, an urban forest park in Guangzhou, and collected 266 valid questionnaires. SPSS26.0 was used to analyze the results of the impact of the urban forest park on users’ psychological stress relief. Spearman’s rho correlation analysis and a Kruskal–Wallis nonparametric test were used to reveal the relationship between social, demographic and behavioral factors of tourism and sound source perception, and multiple regression analysis was used to identify the key factors of urban forest park. The results showed that, first, there were significant individual differences and correlations between respondents’ age, education level, visit time and frequency on soundscape perceptions; the older the respondent or the higher the education level, the higher the psychological stress relief evaluation of natural sounds such as birdsong in urban forest parks; the more frequent the visit, the more sensitive the users were to sound source perceptions; and the different visit time periods showed that, when the frequency of the visit was higher, the more sensitive the users were to the sound source. Secondly, natural sounds are important factors for psychological stress relief in soundscape, and natural "
822,wos,10.3390/ijerph19138034,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Effects of Soundscape on Flow State during Diabolo Exercise,"""Soundscape"" is defined as ""an acoustic environment as perceived or experienced and/or understood by a person or people, in context."" The research focuses on the physical properties of sound, paying attention to the relationship between the soundscape and people. Sports provide a comprehensive context, including the athletes, their behavior, the environment, spectators, and other elements. Soundscape in sports has many important functions, such as indicating the movement process, promoting positive emotions, and enhancing the entertainment atmosphere. It is also related to the physical and mental health of people who are exercising. As a technical sport with multidimensional soundscape qualities, diabolo is very popular among older adults in China due to its easy portability and operation. In order to explore the influence mechanism of the soundscape on the mental health of older players and better guide the shaping of soundscapes at sports venues, this paper focuses on soundscape perception and proposes a two-channel (direct and indirect) model of the influence of the diabolo soundscape on the psychological perception of older players. At the same time, we introduce the flow state as an indicator to evaluate mental health, and use the Short Flow State Scale (SFSS) to measure the flow state. By setting up a control experiment using the diabolo with and without sound and using the two-channel (direct and indirect) influence model to compare the differences in flow state scores under the two states, we analyzed the influence mechanism of the diabolo soundscape on the flow state of elderly groups. The results show that the scores of various flow state dimensions and total flow scores in the silent state of diabolo exercise are significantly lower than those in the sound state (p < 0.05 and p < 0.001), and the main differences are in the three dimensions of unambiguous feedback, sense of control, and autotelic experience. The two-channel influence model can effectively "
823,scopus+wos,10.3233/ais-220621,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,"Sound pollution is an ever growing problem in modern society, and especially in urban environments. In this paper, we investigate if and how artificial sounds can improve the experience of visitors of an urban park with a lot of traffic noise. By using a mobile app, park visitors can control the sound playback by selecting the natural sounds they like, such as birds or a waterfall, and setting the volume. This process of adding artificial sounds to the existing sound environment results in an augmented soundscape. Comparison of the environment with and without this sound playback showed that most visitors experience this as an improvement of the park environment and enjoy controlling the sounds. An experiment with 165 users identified various correlations between the visitors' subjective evaluations of the sound environment and objective measures of their usage behavior with the app, such as the number of interactions and the spent time.  © 2022-IOS Press. All rights reserved."
824,scopus,10.1016/j.envint.2021.106946,2022,Environment International,"Environmental noise exposure and emotional, aggressive, and attention-deficit/hyperactivity disorder-related symptoms in children from two European birth cohorts","Background: Environmental noise exposure is increasing but limited research has been done on the association with emotional, aggressive, and attention-deficit/hyperactivity disorder (ADHD)-related symptoms in children. Objective: To analyze the association between prenatal and childhood environmental noise exposure and emotional, aggressive, and ADHD-related symptoms in children from two European birth cohorts. Methods: We included 534 children from the Spanish INMA-Sabadell Project and 7424 from the Dutch Generation R Study. Average 24 h noise exposure at the participants’ home address during pregnancy and childhood periods were estimated using EU maps from road traffic noise and total noise (road, aircraft, railway, and industry). Symptom outcomes were assessed using validated questionnaires: Strengths and Difficulties Questionnaire, Child Behavioral Checklist, ADHD Criteria of Diagnostic and Statistical Manual of Mental Disorders-Fourth Edition List, and Conner's Parent Rating Scale-Revised at 4, 7 and 9 years (INMA-Sabadell cohort) and 18 months, 3, 5, and 9 years (Generation R Study). Adjusted linear mixed models of prenatal and repeated childhood noise exposure with repeated symptom outcomes were run separately by cohort and overall estimates were combined with random-effects meta-analysis. Results: Average prenatal and childhood road traffic noise exposure levels were 61.3 (SD 6.1) and 61.7 (SD 5.8) for INMA-Sabadell and 54.6 (SD 7.9) and 51.6 (SD 7.1) for Generation R, respectively. Prenatal and childhood road traffic noise exposure were not associated with emotional, aggressive, or ADHD-related symptoms. No heterogeneity was observed between cohorts and results were comparable for total noise exposure. Conclusions: No association was observed between prenatal or childhood road traffic or total noise exposure and symptom outcomes in children. Future studies should include a more comprehensive noise exposure assessment considering noise sensitivity and noise "
825,wos,10.1016/j.jth.2022.101532,2022,JOURNAL OF TRANSPORT & HEALTH,Evaluating urban public spaces from mental health point of view: Comparing pedestrian and car-dominated streets,"Introduction: So far, the planning and design of public urban spaces have not been specifically researched from the perspective of mental health. Only a few studies in the field of urban mental health have investigated the effect of different dimensions of public space design on mental health. Focusing on the street as a major type of public space in all cities around the world, the present study seeks to examine the effect of the dimensions and qualities of street design on mental health.Methods: This experimental study evaluates the psychological results related to two types of urban streets with and without motor traffic. Using a mixed design and a cross-sectional study of the users of public spaces (n = 547), we have measured their level of mental health as well as environmental perception after facing one of the two types of environment. The data were experimentally analyzed via partial least square structural equation modeling (PLS-SEM) and SmartPLS 3.0 software package.Results: The results show that mental health in pedestrian streets is greatly affected by micro-level physical features of the environment and more specifically by natural elements. Whereas, in cardominated streets, the macro-level physical features of the environment have a stronger effect on mental health. From these features, pollution had the strongest effect on mental health in cardominated streets. Three further factors are important to mental health in pedestrian streets which include social relationships, safety, and social surveillance. In both streets, factors such as mixed land use, public transportation, attractiveness, active edge, quality of the pedestrian path, soundscape, and air pollution have the closest association with mental health. Additionally, the dominance of cars not only affects mental health through air and noise pollution but also threatens it by limiting the social experience of space.Conclusions: Although experimental and longitudinal evidence is needed to verify "
826,wos,10.1007/s00248-021-01924-3,2022,MICROBIAL ECOLOGY,Experimental Exposure to Noise Alters Gut Microbiota in a Captive Songbird,"Noise pollution is an unprecedented evolutionary pressure on wild animals that can lead to alteration of stress hormone levels and changes in foraging behavior. Both corticosterone and feeding behavior can have direct effects on gut bacteria, as well as indirect effects through changes in gut physiology. Therefore, we hypothesized that exposure to noise will alter gut microbial communities via indirect effects on glucocorticoids and foraging behaviors. We exposed captive white-crowned sparrows to city-like noise and measured each individuals' corticosterone level, food intake, and gut microbial diversity at the end of four treatments (acclimation, noise, recovery, and control) using a balanced repeated measures design. We found evidence that noise acts to increase corticosterone and decrease food intake, adding to a growing body of research indicating noise exposure affects stress hormone levels and foraging behaviors. We also found evidence to support our prediction for a causal, positive relationship between noise exposure and gut microbial diversity, such that birds had higher measures of alpha diversity during noise exposure. These results help to explain previous findings that urban, free-living white-crowned sparrows have higher bacterial richness than rural sparrows. However, noise appeared to act directly on the gut microbiome or, more likely, through an unmeasured variable, rather than through indirect effects via corticosterone and food intake. Altogether, our study indicates that noise affects plasma corticosterone, feeding behavior, and the gut microbiome in a songbird and raises new questions as to the mechanism linking noise exposure to gut microbial diversity."
827,wos,10.1108/qmr-04-2022-0070,2022,QUALITATIVE MARKET RESEARCH,Experimental atmospherics: a multi-sensory perspective,"Purpose Atmospherics is undoubtedly a multi-sensory concept, despite mostly being studied on a sense-by-sense basis by architects, sensory marketers and urban designers alike. That is, our experience is nearly always the result of cross-modal/multi-sensory interactions between what we see, hear, smell and feel in a given space. As such, it is critical that researchers study the senses in concert. That said, the few empirical studies that have attempted to assess the impact of deliberately combining the senses in a retail/health-care environment have typically failed to deliver the multi-sensory boost to experience (or sales) that the multi-sensory science predicts ought to be observed. Invoking notions of processing fluency, sensory overload and sensory (in-) congruency in the field of multi-sensory atmospherics may help to explain what happened (or went wrong) in such cases. Design/methodology/approach Critical review of literature on atmospherics and sensory marketing, highlighting various difficulties of interpretation and challenges to accepted conclusions. Findings Atmospherics is a fundamentally multi-sensory concept, and cross-modal interactions are the rule, not the exception. As such, researchers need to study atmospherics in a multi-sensory context. Originality/value This critical commentary highlights the need for researchers to consider atmospherics from a multi-sensory, rather than sense-by-sense perspective."
828,wos,10.7717/peerj.13297,2022,PEERJ,Experimentally broadcast ocean surf and river noise alters birdsong,"Anthropogenic noise and its effects on acoustic communication have received considerable attention in recent decades. Yet, the natural acoustic environment's influence on communication and its role in shaping acoustic signals remains unclear. We used large-scale playbacks of ocean surf in coastal areas and whitewater river noise in riparian areas to investigate how natural sounds influences song structure in six songbird species. We recorded individuals defending territories in a variety of acoustic conditions across 19 study sites in California and 18 sites in Idaho. Acoustic characteristics across the sites included naturally quiet 'control' sites, 'positive control' sites that were adjacent to the ocean or a whitewater river and thus were naturally noisy, 'phantom' playback sites that were exposed to continuous broadcast of low-frequency ocean surf or whitewater noise, and 'shifted' playback sites with continuous broadcast of ocean surf or whitewater noise shifted up in frequency. We predicted that spectral and temporal song structure would generally correlate with background sound amplitude and that signal features would differ across site types based on the spectral profile of the acoustic environment. We found that the ways in which song structure varied with background acoustics were quite variable from species to species. For instance, in Idaho both the frequency bandwidth and duration of lazuli bunting (Passerina amoena) and song sparrow (Melospiza melodia) songs decreased with elevated background noise, but these song features were unrelated to background noise in the warbling vireo (Vireo gilvus), which tended to increase both the minimum and maximum frequency of songs with background noise amplitude. In California, the bandwidth of the trill of white-crowned sparrow (Zonotrichia leucophrys) song decreased with background noise amplitude, matching results of previous studies involving both natural and anthropogenic noise. In contrast, wrentit (Chamaea fas"
829,scopus,10.1016/j.scitotenv.2022.155806,2022,Science of the Total Environment,Exposure to road traffic noise and behavioral problems in Chinese schoolchildren: A cross-sectional study,"Background: Transportation noise is second only to air pollution as an environmental contributor to adverse health outcomes in Western countries. However, no studies investigated the association between road traffic noise and behavioral problems among schoolchildren in China. Objective: To investigate the association between exposure to road traffic noise at home and behavioral problems in Chinese schoolchildren. Methods: From January to June 2017, we screened 3236 children aged 7–13 years in Guangzhou (Guangdong, China) from the first investigation of an ongoing school-based cohort study with complete information on behavioral problems and residential geolocation. Residential road traffic noise exposure levels were assessed using a validated modeling method in different periods of the day, including daytime (Lday), nighttime (Lnight), and weighted 24-hr (Ldn). The annual mean concentration of nitrogen dioxide was also modeled in our study. Behavioral problems were assessed by the parent-rated Strengths and Difficulties Questionnaire (SDQ). Generalized linear mixed models were utilized to estimate the associations between road traffic noise and behavioral problems. Results: In the main adjusted model, a 10-dB increase in Ldn was associated with 0.33 (95% CI: 0.08, 0.59), 0.08 (95% CI: −0.01, 0.17), and 0.09 (95% CI: 0.01, 0.16) increases in three subscales score for total difficulties score, emotional problems, and conduct problems, respectively. The same increase in Ldn was also associated with the abnormal total difficulties score (OR = 1.25, 95%CI: 1.01, 1.55), emotional problems (OR = 1.19, 95%CI: 0.98, 1.44), and conduct problems (OR = 1.28, 95%CI:1.02, 1.63). Externalising behavior appears more susceptible to traffic noise than internalising behavior. NO2 had a small impact on the associations between Ldn and behavioral problems. Our estimates were generally robust in several sensitivity analyses. Conclusion: Residential road traffic noise exposure might be re"
830,scopus,10.1016/j.envint.2022.107341,2022,Environment International,Exposure to surrounding greenness and natural-cause and cause-specific mortality in the ELAPSE pooled cohort,"Background: The majority of studies have shown higher greenness exposure associated with reduced mortality risks, but few controlled for spatially correlated air pollution and traffic noise exposures. We aim to address this research gap in the ELAPSE pooled cohort. Methods: Mean Normalized Difference Vegetation Index (NDVI) in a 300-m grid cell and 1-km radius were assigned to participants’ baseline home addresses as a measure of surrounding greenness exposure. We used Cox proportional hazards models to estimate the association of NDVI exposure with natural-cause and cause-specific mortality, adjusting for a number of potential confounders including socioeconomic status and lifestyle factors at individual and area-levels. We further assessed the associations between greenness exposure and mortality after adjusting for fine particulate matter (PM2.5), nitrogen dioxide (NO2) and road traffic noise. Results: The pooled study population comprised 327,388 individuals who experienced 47,179 natural-cause deaths during 6,374,370 person-years of follow-up. The mean NDVI in the pooled cohort was 0.33 (SD 0.1) and 0.34 (SD 0.1) in the 300-m grid and 1-km buffer. In the main fully adjusted model, 0.1 unit increment of NDVI inside 300-m grid was associated with 5% lower risk of natural-cause mortality (Hazard Ratio (HR) 0.95 (95% CI: 0.94, 0.96)). The associations attenuated after adjustment for air pollution [HR (95% CI): 0.97 (0.96, 0.98) adjusted for PM2.5; 0.98 (0.96, 0.99) adjusted for NO2]. Additional adjustment for traffic noise hardly affected the associations. Consistent results were observed for NDVI within 1-km buffer. After adjustment for air pollution, NDVI was inversely associated with diabetes, respiratory and lung cancer mortality, yet with wider 95% confidence intervals. No association with cardiovascular mortality was found. Conclusions: We found a significant inverse association between surrounding greenness and natural-cause mortality, which remained after a"
831,wos,10.1016/j.gloenvcha.2022.102497,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,"Extensive ecosystem degradation and increasing urbanization are altering human relationships with nature. To explore these trends, we created a transdisciplinary, narrative-led podcast series produced by the BBC, called Forest 404. The series explored the implications of a world without nature. An online experimental component mobilized audience participation (n = 7,596) to assess responses to natural soundscapes with and without abiotic, biotic, and poetic elements across five biomes. Conditions featuring the sounds of wildlife, such as bird song, were perceived to be more psychologically restorative than those without. Participants' personal lived experiences were strongly related to these outcomes; those who had memories triggered by the sounds were more likely to find them psychologically restorative and exhibited a greater motivation to preserve them. Moreover, the effects of both soundscape composition and memories on preservation behavior were partially mediated by restorative potential; respondents were more likely to want to protect the sounds they heard if they thought they might offer therapeutic outcomes. Our findings highlight the value of art-science collaborations and demonstrate how maintaining contact with the natural world can promote wellbeing and foster behaviors that protect planetary health."
832,wos,10.1016/j.ssmph.2022.101301,2022,SSM-POPULATION HEALTH,"Grand designs for design policy: Associations between apartment policy standards, perceptions of good design and mental wellbeing","Comprehensive apartment design policies have been legislated by Australian state governments to address concerns about poor design in residential buildings. These policies aim to improve apartment design and promote good health. This study examined whether: (1) residents living in apartments that implemented more minimum design requirements perceived better apartment design and amenity; and (2) increased implementation of minimum requirements and better perceptions of design were associated with positive mental wellbeing. Apartment complexes (n = 114, built 2006-2016) were sampled from Sydney, Perth, and Melbourne. Building plans and elevations were used to measure and score apartments for their implementation of 96 quantifiable policy-specific requirements and residents (n = 1072) completed a self-report survey on their apartment design and health. Multi-level linear regression models were used to account for clustered data. Residents in apartments with greater implementation of requirements for solar and daylight, indoor space, private open space, communal space and parking had more positive perceptions of their apartment in terms of natural light and winter thermal comfort, indoor space and layout, private open space, communal area quality, and parking, respectively (all p < 0.05). Perceptions of natural ventilation, summer thermal comfort, indoor space, and communal area quality were independently associated with positive mental wellbeing (all p < 0.05), but the objective implementation scores had no direct association. When implemented as intended, minimum requirements had a positive impact on perceptions of design, which were associated with mental wellbeing. The study underscores the importance of planning instruments and design review processes that increase industry uptake of minimum policy standards."
833,wos,10.1016/j.jth.2021.101325,2022,JOURNAL OF TRANSPORT & HEALTH,"How are air pollution and noise perceived en route? Investigating cyclists' and pedestrians' personal exposure, wellbeing and practices during commute","Background: Commuting by bicycle or on foot is beneficial for health and wellbeing. However, cycling and walking alongside road traffic poses the risk of air pollution and noise exposure. Traditionally, exposure research is based on objective measurements. Only recently have subjective perceptions gained attention. The perceived exposure to air pollution and noise en route and the momentary sensory awareness in traffic has rarely been investigated. This study addresses this research gap. The aim was to examine cyclists'/pedestrians' sensory awareness, perceived and measured exposure, and practices to reduce health risks and improve wellbeing en route. Methods: A mixed-methods approach was applied: (1) go-/ride-alongs with 28 participants in Berlin, Germany, were conducted. Cyclists/pedestrians were accompanied on their commute home from work. Meanwhile, a semi-structured qualitative interview during cycling/walking was applied to discover experiences, practices and perceptions on-site. (2) Simultaneously, noise (dB (A)), GPS and air pollution (particulate matter) were registered with wearable sensors. Results: Measured exposure was partly in line with perceived exposure. However, some situations with high exposure were evaluated as positive due to sensory awareness (greenery/water, urban aesthetics) or social cues (other people, neighborhood areas). Community feelings, aesthetic/ interesting urban form and passing people who perform leisure activities and, thus, take ownership of their city, improved a pleasant commute. Using hidden paths to include greenery and protective practices (e.g., increasing the distance from emitters) were examined. Conclusions: Cyclists and pedestrians are directly exposed to their environment, which jointly influences health and wellbeing. Air pollution and noise need to be addressed, as do exposure perceptions and other sensory experiences. Passing community areas, having an interesting trip, seeing/smelling blue and green spaces, and t"
834,pubmed+wos,10.1007/s40726-022-00236-5,2022,CURRENT POLLUTION REPORTS,How the COVID-19 Pandemic Muted and Remixed the World's Acoustics for a While,"Purpose of Review This review aims to analyze the effects of the pandemic on the world's sound environment. Recent Findings The confinements associated with the pandemic led to a reduction in sound levels worldwide and a change in the perception of soundscapes in the absence of traffic noise and human-generated noise. In response to the COVID-19 pandemic, many countries and regions around the world adopted a series of interventions in 2020 that have been referred to as ""lockdown"" or ""confinement."" These sets of restrictions had a clear and obvious consequence derived from the absence of people in the streets and the reduction of daily activity and commuting, which caused an unprecedented silencing on a large scale. Along with the silence that ensued, the pandemic and the confinements affected acoustics and our relationship with sounds on different scales. In the cities, this phenomenon had a strong reduction in acoustic intensity due to the absence of vehicles on the streets. Perhaps this was more perceptible in our neighborhoods, with notable changes in their soundscapes, first due to the absence of people in the streets and later due to more outdoor activity derived from the fear of the spread of the virus in indoor spaces. The longer periods of time spent in our homes during the lockdowns also highlighted the importance of sound insulation in buildings and the acoustic conditioning of our schools or homes."
835,scopus+wos,10.1016/j.jnc.2021.126110,2022,JOURNAL FOR NATURE CONSERVATION,"Human-nature connection and soundscape perception: Insights from Tierra del Fuego, Argentina","Human disconnection from nature is thought to have contributed to the environmental crises we currently face, and increasing connection with nature has been proposed as one way of promoting pro-environmental behavior, nature conservation, and social-ecological sustainability. Some efforts to increase connection with nature (“nature relatedness”) have centered on exploring the social-ecological importance of soundscapes, but there is a paucity of empirical evidence supporting the theoretical linkage between soundscape perception and nature relatedness. Using prerecorded and in situ soundscape prompts, we conducted a street intercept survey in Ushuaia, Tierra del Fuego, Argentina to assess: 1) the relative importance of senses in experiences of nature, 2) the relationship between nature relatedness and soundscape perception, 3) differences in soundscape perception between various soundscapes, and 4) possible sociodemographic influences on sense importance, nature relatedness, and soundscape perception. Participants reported that hearing was of secondary importance to vision in experiences of nature. We also found that nature relatedness was positively correlated with the valuation of soundscapes—particularly more natural ones—but not with the discernment of soundscapes or identification of where soundscapes were recorded. Valuation of more natural soundscapes was higher than valuation of more technophonically dominated soundscapes, while soundscape discernment and location identification were higher for soundscapes that were likely more familiar to listeners. Sociodemographic influences on these variables were minor, but women reported higher sense importance, and having a nature-based occupation was associated with higher nature relatedness and valuation of a soundscape from a penguin colony. Our study highlighted a number of potential research areas concerning soundscape perception, including differences between prerecorded and in situ soundscape prompts, defining v"
836,wos,10.1007/s10530-022-02748-z,2022,BIOLOGICAL INVASIONS,"Impact of invasive marmosets (Primates, Callitrichidae) on bird acoustic diversity in a large neotropical urban forest","Documenting the impacts of invasive species on native fauna is challenging and novel remote techniques may contribute to this urgent task. Two primate species, Callithrix jacchus and Callithrixpenicillata, have become invasive in the Brazilian Atlantic Forest, and are considered a threat to native birds, although very few studies have directly addressed their effect on the local communities. Here we used passive acoustic monitoring and acoustic diversity indices to identify (1) the environmental determinants of the occurrence of the marmosets and (2) the potential impact of these invasive species on the bird communities in a large urban forest (Tijuca Forest, Rio de Janeiro, Brazil). We found that invasive marmosets are associated with forest edges and disturbed areas (characterized by fewer woody lianas and presence of jackfruit trees). More importantly, the invasive marmosets occurrence (after removing the effect of their environmental determinants) was negatively related to the acoustic diversity of the bird dawn choruses, as measured by four out of six commonly used acoustic indices (ACI, ADI, H and NDSI). Our results suggest that these primate species impact on bird communities, although the mechanism behind the reduced acoustic diversity remains unclear (e.g., a consequence of direct predation, a shift on bird signaling behavior as an antipredator strategy, or both). This is one of the first studies to document the effect of marmosets Atlantic Forest bird community and to combine the use of passive acoustics and acoustic indices to address invasive species impacts on biodiversity, a promising approach for biological invasions research."
837,wos,10.1080/00140139.2021.2003872,2022,ERGONOMICS,"Interactive effects of task load and music tempo on psychological, psychophysiological, and behavioural outcomes during simulated driving","We examined the interactive effects of task load and music tempo on cognition, affect, cardiac response, and safety-relevant behaviour during simulated driving. Using a counterbalanced, within-subjects design, participants (N = 46) were exposed to fast-, slow-, and no-music conditions at high and low loads in a high-grade simulator. Task load had the most salient effect across a broad swath of variables. For core affect, the Load x Music Condition interaction showed that, under high load, affective arousal scores were higher in the fast-tempo condition vs. slow. A main effect of tempo emerged for the HRV index of SDNN, with fast-tempo music eliciting lower scores than both slow- and no-music conditions. Behavioural data showed a main effect of tempo for risk ratings, with fast-tempo music eliciting the highest scores for a traffic-light trigger. Our findings indicate that drivers in high-load, urban environments should exercise caution in their use of fast-tempo music. Practitioner summary: We examined the interactive effects of task load and music tempo in simulated driving (urban and highway). Cognition, mood, cardiac response, and driving behaviour were assessed. Participants exhibited more risky behaviours in response to fast-tempo music. Drivers should exercise caution in their use of up-tempo music in urban settings."
838,wos,10.3389/fevo.2022.828503,2022,FRONTIERS IN ECOLOGY AND EVOLUTION,Is It Time for Ecotremology?,"Our awareness of air-borne sounds in natural and urban habitats has led to the recent recognition of soundscape ecology and ecoacoustics as interdisciplinary fields of research that can help us better understand ecological processes and ecosystem dynamics. Because the vibroscape (i.e., the substrate-borne vibrations occurring in a given environment) is hidden to the human senses, we have largely overlooked its ecological significance. Substrate vibrations provide information crucial to the reproduction and survival of most animals, especially arthropods, which are essential to ecosystem functioning. Thus, vibroscape is an important component of the environment perceived by the majority of animals. Nowadays, when the environment is rapidly changing due to human activities, climate change, and invasive species, this hidden vibratory world is also likely to change without our notice, with potentially crucial effects on arthropod communities. Here, we introduce ecotremology, a discipline that mainly aims at studying substrate-borne vibrations for unraveling ecological processes and biological conservation. As biotremology follows the main research concepts of bioacoustics, ecotremology is consistent with the paradigms of ecoacoustics. We argue that information extracted from substrate vibrations present in the environment can be used to comprehensively assess and reliably predict ecosystem changes. We identify key research questions and discuss the technical challenges associated with ecotremology studies."
