uid,source,no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
821,db-search,821,FINAL_INCLUDE,2022,SUSTAINABILITY,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Vis,China,park,survey,266 (유효 설문),"도시숲공원 9개 표본지점의 음원 유형 — 자연음(새소리·매미·물흐름·바람에 흔들리는 잎), 인공설비음(교통·방송음악·항공기·공사), 인간활동음(대화·발자국·청소·아이들 놀이)",space-use; activity,"자기보고 이용행태 지표 — 주간 공원 이용 빈도, 방문 시간대, 방문 시간(체류) 및 이용 유형",self-report,reverse,"방문 빈도가 높을수록 음원 지각 민감도가 높았고 방문 시간대·연령·학력에 따라 사운드스케이프 지각과 스트레스 완화 평가가 유의하게 달랐으며, 새소리 등 자연음이 심리적 스트레스 완화에 가장 크게 기여했다","NR (Spearman rho 상관·Kruskal-Wallis 비모수 검정·다중회귀 유의로만 보고, 계수 발췌 없음)"
833,db-search,833,FINAL_INCLUDE,2022,JOURNAL OF TRANSPORT & HEALTH,How are air pollution and noise perceived en route? Investigating cyclists' and pedestrian,Germany,street,mixed,28,"베를린 퇴근 통근경로의 개인 노출 실측 — 웨어러블 센서로 소음 dB(A) 2초 간격·입자수(PNC) 1분 간격·GPS 동시 기록, 도로교통 소음과 녹지·수변의 정온함 대비",movement,"경로 선택과 hidden path 이용, 배출원과 거리 두기 등 보호 행태, GPS로 기록된 실제 통근 경로",self-report (이동 중 go-/ride-along 인터뷰 + GPS 경로 기록),forward,"자전거·보행 통근자는 소음·대기오염 노출을 줄이려 녹지가 있는 hidden path로 우회하고 배출원과 거리를 두는 보호 행태를 취했으며, 실측 노출이 높아도 녹지·물소리·사람의 존재가 있으면 그 구간을 긍정적으로 평가했다",NR (질적 코딩과 노출 실측 대조·발췌에 통계량 없음)
858,db-search,858,FINAL_INCLUDE,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study,Italy,waterfront (안코나 항만 공공개방구역 8개 클러스터 C1–C8 — 바이노럴 녹음+8K 영상 온라인 청취테스트로 옥외 재현),mixed,228,"8개 클러스터 현장 바이노럴 녹음(HATS type 4100·CS-10EM, 2021년 10월 주간 11:00–16:00)을 헤드폰 재생; SPL 26.0–53.8 dBA, loudness 47.81–67.50 phone, sharpness 0.66–1.43 acum, roughness 0.34–2.96 asper, fluctuation strength 0.17–1.10 vacil",space-use,"자기보고 행태변수 — 해당 장소 방문빈도(매일~비정기), 체류시간(장소에 머무는 정도), 방문 동기; 주관적 데이터셋 정규화(normalization)에 사용",self-report,reverse,"응답자 53%가 매일 방문·9%가 비정기 방문이었고 방문빈도·체류시간·동기를 사운드스케이프 평가 데이터의 정규화 도구로 투입했으나, 행태변수와 평가의 관계를 검정한 결과는 보고되지 않음; 보고된 결과는 음향·심리음향 지표와 주관평가(pleasant·annoying·calm 등)의 회귀관계와 클러스터별 SQI·PA","Pleasant = 0.12*Leq + 0.4*Phone + 0.6*Sharp - 13.9 (r2 = 0.82, Rmse 0.36); Calm r2 = 0.86; Annoying r2 = 0.80; Vibrant r2 = 0.81; Eventful r2 = 0.76; PAport polynomial regression r2 = 0.93, covariance 0.50, probability 0.001; 53% visiting the port every day, 9% irregular visits"
862,db-search,862,FINAL_INCLUDE,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its L,China,"park (푸저우 Hot Spring Park — 도심 도시숲 공원 약 10 hm², 70×70 m 그리드 31개 모니터링 지점)",observational,"NR (개인 표본 없음; 31지점×맑은 날 3일·6:00–22:00, 총 60,527.6초·11,202회 음원 계수, 일평균 992분 녹음)","공원 사운드스케이프 — 52종 음원을 자연음·교통음·관리음·레크리에이션음 4범주로 분류하고 PSD(1–11 kHz, w/kHz)와 SDI(Simpson 개량 다양성지수) 산출; 레크리에이션음이 지속시간 41.87%·빈도 41.04%로 최대, 자연음 28.51%/43.29%",activity; space-use,레크리에이션 행태의 음향 기록 — 배드민턴·박수와 발구르기·줄넘기·스케이트보드·달리기와 뛰기·걷기 등 활동음과 대화·아이놀이·노래·웃음 등 사회음의 빈도·지속시간; 파노라마 사진 의미분할(DeeplabV3+)로 산출한 이용객(tourists) 비율,observation,reverse,"공원의 음향파워(PSD)와 사운드스케이프 다양성(SDI)이 공중의 레크리에이션 행태에 크게 좌우되어 SDI 일변화가 레크리에이션음 분포와 같은 추세를 보였고, 이용객 비율이 높을수록 자연음 지속시간이 유의하게 감소했으며, 배드민턴·박수·아이놀이 등 일부 레크리에이션 행태가 생물 발성 고주파대를 점유해 조류 발성에 영향을 줄 수 있다고 보고; 저자는 SDI를 공원 레크리에이션 행태 다양성 지표로 사용할 수 있다고 제안","tourists ratio vs natural sound duration r = -0.443 *; hard ground ratio vs SDI r = 0.364 *, vs PSD r = 0.361 *; shrub ratio vs PSD r = -0.362 *; building ratio vs recreational frequency r = -0.427 *, arbor ratio vs recreational frequency r = 0.381 *; PSD model R2 = 0.555 (DW = 2.336), SDI model R2 = 0.432 (DW = 2.152); SDI peak 0.827 (17:00-18:00), min 0.339 (14:00-15:00); PSD max 1.09 w/kHz, children playing 0.8 w/kHz"
883,db-search,883,FINAL_INCLUDE,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound expe,Australia,park,survey,4105,최근 방문한 동네 공원에서 경험한 새소리와 도로교통 소음(ex situ 회상 설문·음압레벨 실측 없음),space-use; activity; social,자기보고 최근 공원 이용(최근 방문 여부)과 공원을 운동·사교·자연의 소리 듣기 목적으로 가치평가하는지 여부,self-report,reverse,"최근 공원을 이용했고 운동·사교 목적으로 공원을 가치있게 여기는 사람일수록 새소리를 pleasant하게 경험할 확률이 높고 교통소음을 unpleasant하게 지각할 확률은 낮았던 반면, 임차 등 사회경제적 불리 집단과 자연친화성이 높은 집단은 교통소음을 더 unpleasant하게 지각했다",NR (logistic regression 결과는 Table 1-2에 있으나 발췌에 수치 없음; a priori power 계산 기준 OR = 1.49)
888,db-search,888,FINAL_INCLUDE,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,China; United Kingdom,"square (four urban public spaces: Guanqian Square and Central Park Square, Suzhou; Peace Garden and Barker's Pool, Sheffield)","qualitative (grounded theory; on-site unstructured open-ended in-depth interviews of about 30 min, convenience sampling until data saturation, January-March 2018; open, axial and selective semantic coding in NVivo 12)","23 participants (13 male, 10 female; aged 18-70; Table 1: Suzhou 10 [pilot phase, January 2018], Sheffield 13)","Everyday in-situ acoustic environments of four urban public spaces, no manipulation; sound sources noted by the researcher (wind, birds, water/fountains, music, cars/traffic, talking, footsteps, children); LAeq measured with a 01dB Solo sound level meter during each interview: Guanqian Square 65.0-68.5 dB, Central Park Square 70.5-75.8 dB, Peace Garden 68.5-70.8 dB, Barker's Pool 59.1-60.7 dB (section 2.1). Reverse pathway: self-described activities and companion/social-relationship types (friends, family, couples) as determinants of soundscape preferences.",activity; social; movement,"Interview-reported companion type, reason for visit, current activity and visit habit (Table 2 background questions), coded into activity 'images' by social relationship (friend, family, couple) (section 3.4.2); self-reported coping strategies toward unwanted sounds: tolerance, avoidance by leaving the place, and complaint such as posting online (section 3.3.3)",self-report (on-site in-depth interviews coded by grounded theory),both,"Users' activities, organised by social relationships, shaped soundscape preferences: a 'friend image' was tied to eventful soundscapes (festivals, performances), a 'family image' to relaxing, peaceful nature sounds and a 'couple image' to quietness and a private sound environment, as people preferred sounds that supported their activities (section 3.4.2, section 4). In the forward direction, users coped with unwanted sounds by tolerance (e.g., traffic noise), avoidance by leaving the place, or complaint, although the authors conclude people mostly handled noise at the psychological level (section 3.3.3); no magnitudes are reported.","NR (qualitative grounded-theory coding; activity images in section 3.4.2 and Figure 1 with codes a4, a13, a14, a77, a85, a91, a97, a98; avoidance codes a39, a92; complaint codes a31, a55, a63)"
901,db-search,901,FINAL_INCLUDE,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urba,China,park,mixed,NR (35개 음향 모니터링 지점·6:00-22:00 관측),"도시녹지 35개 지점의 연속 음향 녹음 기반 음향지수 — ACI·ADI·AR·NDSI와 10개 주파수 구간 PSD, 개장시간 6:00-22:00 전 시간대 측정",activity; movement; space-use,관찰로 기록한 공공 여가행태의 유형별 인원·빈도와 그 시간대별·공간별 변이(통과 보행이 최다 유형),observation (+ 음향센서 연속 녹음),reverse,"ACI·ADI·AR은 공공 여가행태와 동일한 W자형 일변동과 공간분포를 보였고(NDSI는 반대 패턴), 상관분석과 GLMM에서 음향지수가 방문객 활동 동태를 유의하게 반영했으며 PSD의 5-6·6-7·9-10 kHz 구간이 서로 다른 여가행태 정보를 담았다",NR (correlation coefficients·GLMM 결과는 Table 4-5·Fig. 9-10에 있으나 발췌에 수치 없음)
917,db-search,917,SENS_ONLY,2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,China,VR-lab (laboratory audio-visual reproduction of one schoolyard and one urban park; 4-min videos without people projected on a 1.5 x 1.0 m screen in a 4.6 x 2.9 x 3.3 m recording studio),"lab-VR-experiment (within-subject laboratory experiment; eight soundscape stimuli plus a No sound control crossed with two visual environments, presented in random order)","38 children analysed (40 recruited, 19 boys / 19 girls, aged 6-12, grades 1-6 balanced; analytic unit: 592 condition observations, 65-66 per soundscape)","Eight soundscape stimuli built from 13 recorded sounds (Motorized transport; Human movement = run & walk; Electro-mechanical = construction & ventilation; Animal = birdsong & barking; Nature = leaves rustle & water; Children's = playing, laughter & singing; Adults' = conversation & singing; Classical music = Mozart K448 II) plus a No sound control, all reproduced at 55 dBA (+/-1 dBA) measured as LAeq,4min at the child's earhole; laboratory background 21.0-23.2 dBA; psychoacoustic indicators (FS, S, R, N) of each stimulus reported in Table 6",social; staying; space-use,"Self-reported behavioural expectation in three operational categories: Interaction (wants to interact with others in the place), Nonparticipation (wants to stay in the place but alone), Avoiding (does not want to stay / not come), elicited 15 s after exposure by the question 'In this place, do you want to be with other people, or be here alone, or not come?' and confirmed by a demonstration step in which the child added, positioned and connected virtual characters on the video scene and reported their sex, activity and relationship (Fig. 3-4)",self-report (forced-choice question plus child-led on-screen demonstration recorded by the experimenter; no observation of actual behaviour),forward,"Compared with the No sound control, Children's sounds (Interaction 71.2 %) and Nature sounds (63.1 %) significantly raised children's expectation to enter the place and interact (36.4 % under No sound), whereas Animal sounds (46.2 %) and Classical music (40.9 %) significantly raised the expectation to stay alone (21.2 % under No sound). Correspondence analysis associated Human movement, Children's, Adults' and Nature sounds with Interaction, Animal sounds and Classical music with Nonparticipation, and Motorized transport and Electro-mechanical sounds with Avoiding. The soundscape effect did not differ significantly between the schoolyard and the urban park, and no individual difference by sex, age, grade or personality was found.","Overall 3 x 9 contingency test: X2 = 152.651, p = 0.000, Cramer's V = 0.359 (Table 3, §3.1). Post hoc 2 x 2 chi-square of each soundscape vs No sound, Bonferroni adjusted alpha 0.00625 (Table 4, Fig. 5): Children's sounds X2 = 16.139, df = 2, p = 0.000; Nature sounds X2 = 17.330, p = 0.000; Classical music X2 = 24.173, p = 0.000; Animal sounds X2 = 20.519, p = 0.000; Adults' sounds X2 = 8.953, p = 0.011; Human movement sounds X2 = 6.002, p = 0.050; Electro-mechanical sounds X2 = 6.857, p = 0.032; Motorized transport sounds X2 = 4.467, p = 0.107. Correspondence analysis: dimension 1 78.83 %, dimension 2 23.17 % of variance (Table 5, Fig. 6). Stepwise multinomial logistic regression: only the soundscape main effect entered the model (X2 = 152.651, p = 0.000); visual environment and soundscape x visual environment were dropped (§3.3); interaction with sex, age, grade and personality n.s. (X2 = 24.994, p = 0.125)."
930,db-search,930,FINAL_INCLUDE,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,Iran,street,survey,288 (3 user groups x 96),"urban sonic environment quality (pleasantness, evocative/inspiring role, space interactivity); area sound levels recorded 60-91 dB",space-use; social,"self-reported attendance in the public open space (purpose of attendance, willingness to attend, accompanying friends/family)",self-report,forward,"Sonic environment quality predicted people attendance on the historic pedestrian street: unpleasant sound conditions lowered willingness to attend and discouraged bringing friends and family, reinforcing individualistic use.",NR
931,db-search,931,FINAL_INCLUDE,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks,China,park,field-experiment,NR,"loudspeaker sound interventions in situ: bird song and water sound (natural), traffic noise and construction noise (artificial), plus quiet control and white noise",social,"proportion of people engaging in social interaction, frequency of social interaction, percentage of time spent on social interaction",observation (covert hidden-camera video coding),forward,"Natural sound interventions raised the proportion of people engaged in social interaction by about 10% and increased interaction frequency and total duration by about 10%, mainly for within-group interactions, while noise interventions had no significant negative effect.",Natural sounds increase about 10% of people engaging in social interactions; natural sounds increase the total duration of social interactions by about 10%
941,db-search,941,FINAL_INCLUDE,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urb,China,street,field-experiment,NR (Table 1 person-time sample sizes not in excerpt),"Traffic noise at two levels (low 55.6 dBA vs high 70.5 dBA, at least 10 dB apart) crossed with lilac (Syringa amurensis) plant odour concentration graded none to strong on a 7-point scale",movement,"Crowd walking path (lateral position of the trajectory relative to the noise and odour sources) and crowd walking speed in m/s, extracted from drone observation video",sensor-GPS-video,forward,"At high SPL pedestrian paths shifted away from the traffic-noise side and moved up to about 0.3 m toward the odour source as odour strengthened, and mean crowd speed slowed from 1.24 m/s to 1.18 m/s, whereas path and speed were almost unaffected at low SPL",max longitudinal path shift about 0.3 m; mean speed 1.24 m/s to 1.18 m/s at high SPL; overall mean 1.17 m/s; repeated measures ANOVA in Tables 2-3 with F and p values not in excerpt
951,db-search,951,FINAL_INCLUDE,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnabilit,Finland,street,sensor-bigdata,"13,322 street segments (Strava running routes 2018-2021, Helsinki)","Street-segment traffic noise level, with air quality index, Green View Index, NDVI, blue space density, slope, Floor Area Ratio, connectivity and traffic accidents as co-exposures",movement; activity,"Running intensity per street segment, computed as total length of Strava GPS running routes within a 20 m buffer divided by buffer area (range 0.001-3.45 m/m2)",sensor-GPS-video,forward,"Running intensity was positively correlated with traffic noise and air pollution and negatively with urban density, connectivity and traffic accidents, while blue space density was the predominant positive predictor","NR (multilevel model coefficients reported in Table 2, values not in excerpt)"
964,db-search,964,FINAL_INCLUDE,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior,China,park,mixed (on-site behaviour mapping + questionnaire),NR,"natural and other sound sources (bird sounds, chirp/insect sounds, wind sounds) paired with visual landscape attributes (grassland, waterscape, woodland)",space-use; activity; staying,on-site mapping of visitors activities and activity vitality across landscape and sound settings (behaviour maps),observation (on-site mapping) + self-report questionnaire for emotion,forward,"Natural sounds (bird, chirp, wind) and nature-dominated visual landscapes were positively correlated with activity vitality; grasslands and woodlands attracted recreation and vitality became extremely high when paired with lakes.",NR
971,db-search,971,FINAL_INCLUDE,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,China,park,field-experiment,NR,"played sound sources (grass-cutting noise, melodious music, no sound source) crossed with low/moderate/high thermal levels; LAeq and UTCI monitored",movement; staying; space-use,"number of people (crowd flow), number of persons staying and staying time, approach/avoidance path choice relative to the sound source, walking speed",observation (covert behaviour observation) + sensor (LAeq/UTCI),forward,"Music attracted more visitors and slowed walking pace, whereas grass-cutting noise (especially under high temperature) reduced crowd flow, shortened staying time and produced avoidance paths away from the source.",NR
979,db-search,979,FINAL_INCLUDE,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for pe,NR,street,field-observation,NR (number of walk-along participants with psychosis not stated in excerpt),"Naturally occurring urban street sounds and noise during walk-alongs, including short and very loud metallic noises near a parked truck, a car horn and a strident tyre screech",movement; social,"Video-coded embodied and verbal conduct while walking: gaze reorientation and looking down, orienting to the noise source, walking away from the partner and solitary gait, turn-taking (minimal and delayed replies, absence of topic initiation) and silences",observation,forward,"Loud strident street noises were followed by observable disengagement in the participant with psychosis: gaze aversion and orienting toward the noise source, progressively walking away from the partner and minimal or delayed conversational contributions including a 29-second silence, the longest of the entire walk-along",NR
980,db-search,980,FINAL_INCLUDE,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceive,China,park (창춘 Culture of Water Ecology Park 겨울 도시공원 원로 12개 — primary/secondary/walking path 3유형),survey (저자 표기 on-site experiment — 산술과제로 스트레스 유발 후 현장 설문),180 (배포 200·유효 180; 남 89·여 91),"겨울 백색공간의 사운드스케이프 지각(평온감 relaxed·soothed·calm·sober, 쾌적감 cheerful·satisfied·happy·comfortable 7점)과 픽셀그리드로 정량화한 경관요소(하늘·눈·시설·상록수·낙엽수 가지) — 객관 음향측정은 미실시(저자 한계로 명시)",staying; space-use,겨울 옥외 환경노출 지속시간 자기보고(약 10분/20분/30분/40분/50분/1시간/2시간 7점)와 이용 중인 원로 유형(PP/SP/WP),self-report,reverse,"환경노출 지속시간이 길수록 사운드스케이프 회복지각(특히 fascination·being away)과 경관 회복지각이 모두 유의하게 높았고 노출시간은 경관요소→PRS 경로의 부분매개로 작용했으며(상록수 34.85%·눈 32.12%·가지 27.91%), 원로 유형별로 사운드스케이프 평온·쾌적·회복성에 유의차가 있어 primary path가 가장 높았고, 체류시간은 성별로 갈려 여성은 20~40분 단기 방문·남성은 45분~2시간 이상에 집중됐다",exposure duration vs soundscape: fascination r=0.477** / being away r=0.490** / compatibility r=0.277** / extent r=0.354** / PRSS r=0.551**; vs landscape PRS r=0.623**; tranquility vs PRS r=0.415**; pleasantness vs PRS r=0.353**; primary path PRS=5.18±0.53 PRSS=5.29±0.62; PRSS male 5.05±0.67 vs female 4.77±0.80 F=6.540 p=0.011*
984,db-search,984,FINAL_INCLUDE,2024,LANDSCAPE RESEARCH,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake sceni,China,park (Hefei Feicui Lake scenic spot - lakeside urban scenic park with musical fountain and violin island),mixed (soundwalk with 10 sampling points + on-site Likert questionnaire + SPL measurement + evening musical-fountain on/off comparison),"262 valid questionnaires of 273 collected (300 distributed), March 2023; plus 120 evening interviewees (60 with musical fountain on, 60 with fountain off)","Musical theme landscape fused with the site soundscape (musical fountain switched on vs off, violin island, broadcast music, fountain and bird sounds, traffic and construction noise); LAeq measured at 10 points ranged 42.1-74.5 dB(A)",staying; social; activity; space-use,"Staying, resting and communicating at the musical fountain (proportion preferring to stay/rest/communicate; stayed vs passed by); visit purpose (entertainment and rest vs passing through), length of stay and number of visits used as behavioural predictors of soundscape satisfaction and comfort",self-report (soundwalk-based Likert questionnaire and on-site verbal interview at the fountain) + sensor (BSWA801 and Norsonic Nor121 sound level meters; 01dB software),both,"With the musical fountain operating, perceived comfort and the share of visitors staying, resting or communicating were significantly higher than when it was off; visitors whose activity was entertainment or rest, who stayed longer, or who had visited more than five times reported higher satisfaction, and satisfaction/comfort peaked parabolically at 50-60 dB(A)","Comfortable or very comfortable 68.33% (fountain on) vs 43.33% (fountain off), p < .05; willing to stay, rest or communicate 68.33% vs 56.67%; entertainment/rest users vs passers-by, longer vs shorter stay, and >5 vs <5 visits all p < .05; sound sensitivity decreased with visit number p < .05; education p < .01; gender and age p > .05; LAeq 42.1-74.5 dB(A) with optimum 50-60 dB(A); n = 262, Cronbach alpha 0.741, KMO 0.757"
999,db-search,999,FINAL_INCLUDE,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian s,China,street,lab-VR-experiment,30 participants,"Seven laboratory auditory environments combining 68 dB traffic noise with residential activity sounds or commercial activity sounds at varying signal-to-noise ratios representing low and high activity intensity (field LAeq: TN 68.3, RS 66.2, CS 67.8 dBA)",activity; social,"Human activity spatial context operationalised as activity type (commuting, residential, commercial) and activity intensity (SNR of activity sounds over traffic noise); no behaviour was observed on participants",self-report,reverse,"Adding human activity sounds to constant traffic noise lowered the perceived dominance of traffic noise and raised acoustic comfort despite higher acoustic energy, with best comfort for low-intensity residential and high-intensity commercial activity and more actively engaging soundscapes at higher activity intensity","NR (repeated measures ANOVA reported in Tables 2-5, values not in excerpt)"
1005,db-search,1005,FINAL_INCLUDE,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban c,Ireland,street,mixed,"81,403 Strava cycle trips plus 335 surveyed cyclists",Road traffic noise exposure in Dublin estimated from local environmental data and 17 noise monitoring stations (WHO 53 dB Lden limit cited; cyclist levels reported at 71-75 dB),movement; space-use; activity,"Self-reported temporal and spatial detours taken because of noise, plus Strava-recorded cycling route choice and trip volumes for a direct route versus the popular detour route",sensor-GPS-video,forward,"Cyclists reported that noise changed their behaviour mainly through temporal and spatial detours, and the popular detour route carried about 10 dB(A) lower noise exposure than the direct route at the cost of roughly 4 extra minutes","+10 dB(A) exposure increase on the direct route versus the popular detour, for a saving of approximately 4 min; survey percentages in Table 2 not in excerpt"
1009,db-search,1009,SENS_ONLY,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,Effect of human sound component on the sociability of urban public spaces-a case study in ,UK,square,field-experiment (immersive 360-degree video and spatial audio playback; participants recruited on site),120,Four designed 360-degree soundscape samples from Peace Gardens recordings: V1 foreground human sound (talking/laughing) over pleasant background; V2 background human sound; V3 no human sound (control); V4 foreground loud signal sound over pleasant human background,social,Level of Willingness for social interactions (LoW-C/E/S) as stimulation level; soundscape suitability via SQE (stressful-peaceful; uneventful-eventful; unsafe-safe; unpleasant-pleasant),self-report (questionnaire after each 360-degree sample),forward,"Only the foreground human sound sample significantly raised both soundscape suitability and willingness for social interaction, while the other three samples produced either high suitability/low stimulation or low suitability/high stimulation, and the preference varied by companion type and age group","Correlations of social willingness with companion types and age reported as negative coefficients R = -0.233 and R = -0.206 (Table 1, with two-sample t-tests); other effect sizes NR in excerpt"
1018,db-search,1018,FINAL_INCLUDE,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral ,China,park,mixed,"1,044 respondents across three urban parks","Urban park acoustic environment: LAeq measured for 10 min at each sampling site plus identified sound sources (traffic noise, music, human sounds, natural sounds) across fitness trails, open squares, tree-shaded squares and pavilions",staying; movement; activity,"Behavioural state of each respondent classified as sitting, walking or acoustic behaviour and sustained for over 15 min, recorded by both observation and questioning",observation,reverse,"Respondents in different behavioural states (sitting, walking, acoustic) reported different acoustic-visual perceptions and satisfaction, so behavioural state conditioned soundscape evaluation and predicted acoustic, visual and overall satisfaction","NR (multiple linear regression results in Tables 4-6, values not in excerpt)"
1020,db-search,1020,FINAL_INCLUDE,2024,LAND,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emo,China,park,mixed (field audio-visual measurement + questionnaire + regression modelling),NR (10 measurement points),measured LAeq at 10 points with an expressway traffic-noise map and perceived sound sources; 77 dB identified as a critical threshold,space-use; activity,behavioural vitality / activity intensity by functional zone and measurement point,self-report questionnaire + on-site mapping,forward,"Lawn and pavement proportions and sound pressure level significantly affected behavioural vitality, with 77 dB acting as a critical threshold that separates distinct emotional prediction models.",NR
1053,db-search,1053,FINAL_INCLUDE,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces,USA,park,sensor-bigdata,"355 small-medium public parks (359 when all parks included), Queens, New York City","Park noise level as one of 12 social and environmental predictors, alongside park area, canopy cover, percent water and impervious cover, distance to public transportation, summer mean temperature, median income and ethnic diversity",space-use; activity,"iNaturalist citizen-science records per park: number of Observers, number of Observations, Observed Biodiversity and a calculated Interaction metric (users x observations)",sensor-GPS-video,forward,"For small-medium parks all four nature-interaction metrics were significantly influenced by noise together with park area, canopy cover, blood pressure and asthma prevalence and summer mean temperature; the sign and magnitude of the noise coefficient are not given in the excerpt","NR (GLM estimates, standard deviations, P values and McFadden pseudo-R2 in Tables 3-4, values not in excerpt)"
1069,db-search,1069,FINAL_INCLUDE,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents,China,residential,field-experiment,NR (residents video-recorded at two community activity spaces; count not in excerpt),"Loudspeaker sound interventions in two community outdoor activity spaces: mixed birdsong, water sound, traffic noise and construction noise, all equalised in SPL, plus a quiet control condition",social,"Video-coded social interaction indicators: social participation for paired and grouped interactions (SP), occurrence of brief and prolonged social interactions (OSI-B, OSI-P) and depth of social interactions (DSI)",observation,forward,A more natural community sound environment increased social interaction: birdsong raised paired social interactions by 16.3 percent versus traffic noise and water sound raised grouped social interactions by 16.6 percent versus the control,"paired social interactions +16.3% (birdsong vs traffic noise); grouped social interactions +16.6% (water vs control); prolonged pair interactions +0.26 occurrences (birdsong); prolonged group interactions +0.19 occurrences (water), each versus the lowest group"
1076,db-search,1076,FINAL_INCLUDE,2024,FORESTS,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban ,China,park,survey (questionnaire + structural equation model),419,perceived soundscape pleasantness and eventfulness in five urban parks; measured LAeq 3-min 43.9-67.7 dBA,staying; activity,"self-reported static versus dynamic behaviour types and visit intensity (visit frequency, time of stay)",self-report,both,"Pleasant and eventful soundscapes promoted static behaviours (dynamic behaviours were driven only by eventfulness), and static behaviour in turn mediated the effect of soundscape characteristics on restorative experience, accounting for 8% of the total effect.","static behavior is the only mediating factor, accounting for 8% of the total effect"
1110,db-search,1110,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insight,Australia,street,sensor-bigdata,"8,854 street sample points (35,416 SVIs); 개인 참가자 없음",Google SVI에서 예측한 가로 사운드스케이프 — noise intensity·sound quality·soundscape eventfulness 등 청각지표를 시각지표(GVI·SVF·VE·VB·VHI·IMA)와 함께 투입,movement; activity,Strava Heatmap 래스터 밝기값으로 추정한 가로구간별 자전거 통행량(20 m 버퍼 집계),sensor-GPS-video,forward,청각 특성(특히 noise intensity·sound quality)이 시각 특성보다 자전거 통행량에 더 강한 영향을 보였고 soundscape eventfulness는 역U자형 비선형 효과를 보였으며 자연음은 고소음의 부정적 영향을 완화했다,NR (SHAP 전역·국소 중요도와 부분의존곡선으로만 제시; 가로유형별 통행량 차이는 ANOVA ***p < 0.001)
1115,db-search,1115,FINAL_INCLUDE,2025,PLOS ONE,Does noise pollution influence modal choices? A random forest application,United Kingdom; Australia,street,sensor-bigdata,NR (census commuting flows for Greater London and Brisbane),"modelled environmental noise levels (noise maps) intersected with commuting itineraries, together with built-environment density, land-use and amenity variables",movement,"commuting travel mode choice (walk, bicycle, car) and route-level noise exposure",secondary big data (census travel-to-work flows + modelled noise maps),forward,"Noise levels were among the relevant predictors of commuting mode choice in Greater London (crossing quieter roads mattered more than crossing loud ones) while built-environment characteristics dominated in Brisbane, and cycling patterned more like driving than like walking.",NR
1121,db-search,1121,FINAL_INCLUDE,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort ev,China,campus,mixed,NR (Table 3 응답자 기술통계가 발췌에 미포함),"캠퍼스 옥외 5개 공간(가로 2·광장·수변·잔디밭)의 실측 음환경 — AR844 소음계(30-130 dBA)로 LAeq 측정, RayMan PET와 동시 기록",activity,설문으로 수집한 신체활동수준(PAL)과 7점 척도 음향쾌적감(ACV)·열쾌적감(TCV)·전반쾌적감(OCV),self-report,reverse,신체활동수준(PAL)을 적정 수준으로 낮추면 음향쾌적감·열쾌적감·전반쾌적감이 모두 향상되었고 PET 30.1도에서 음향지각이 가장 쾌적했다,NR
