no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
1020,FINAL_INCLUDE,2024,LAND,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emo,China,park,mixed (field audio-visual measurement + questionnaire + regression modelling),NR (10 measurement points),measured LAeq at 10 points with an expressway traffic-noise map and perceived sound sources; 77 dB identified as a critical threshold,space-use; activity,behavioural vitality / activity intensity by functional zone and measurement point,self-report questionnaire + on-site mapping,forward,"Lawn and pavement proportions and sound pressure level significantly affected behavioural vitality, with 77 dB acting as a critical threshold that separates distinct emotional prediction models.",NR
1053,FINAL_INCLUDE,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces,USA,park,sensor-bigdata,"355 small-medium public parks (359 when all parks included), Queens, New York City","Park noise level as one of 12 social and environmental predictors, alongside park area, canopy cover, percent water and impervious cover, distance to public transportation, summer mean temperature, median income and ethnic diversity","space-use, activity","iNaturalist citizen-science records per park: number of Observers, number of Observations, Observed Biodiversity and a calculated Interaction metric (users x observations)",sensor-GPS-video,forward,"For small-medium parks all four nature-interaction metrics were significantly influenced by noise together with park area, canopy cover, blood pressure and asthma prevalence and summer mean temperature; the sign and magnitude of the noise coefficient are not given in the excerpt","NR (GLM estimates, standard deviations, P values and McFadden pseudo-R2 in Tables 3-4, values not in excerpt)"
1069,FINAL_INCLUDE,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents,China,residential,field-experiment,NR (residents video-recorded at two community activity spaces; count not in excerpt),"Loudspeaker sound interventions in two community outdoor activity spaces: mixed birdsong, water sound, traffic noise and construction noise, all equalised in SPL, plus a quiet control condition",social,"Video-coded social interaction indicators: social participation for paired and grouped interactions (SP), occurrence of brief and prolonged social interactions (OSI-B, OSI-P) and depth of social interactions (DSI)",observation,forward,A more natural community sound environment increased social interaction: birdsong raised paired social interactions by 16.3 percent versus traffic noise and water sound raised grouped social interactions by 16.6 percent versus the control,"paired social interactions +16.3% (birdsong vs traffic noise); grouped social interactions +16.6% (water vs control); prolonged pair interactions +0.26 occurrences (birdsong); prolonged group interactions +0.19 occurrences (water), each versus the lowest group"
1076,FINAL_INCLUDE,2024,FORESTS,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban ,China,park,survey (questionnaire + structural equation model),419,perceived soundscape pleasantness and eventfulness in five urban parks; measured LAeq 3-min 43.9-67.7 dBA,staying; activity,"self-reported static versus dynamic behaviour types and visit intensity (visit frequency, time of stay)",self-report,both,"Pleasant and eventful soundscapes promoted static behaviours (dynamic behaviours were driven only by eventfulness), and static behaviour in turn mediated the effect of soundscape characteristics on restorative experience, accounting for 8% of the total effect.","static behavior is the only mediating factor, accounting for 8% of the total effect"
1110,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insight,Australia,street,sensor-bigdata,"8,854 street sample points (35,416 SVIs); 개인 참가자 없음",Google SVI에서 예측한 가로 사운드스케이프 — noise intensity·sound quality·soundscape eventfulness 등 청각지표를 시각지표(GVI·SVF·VE·VB·VHI·IMA)와 함께 투입,movement; activity,Strava Heatmap 래스터 밝기값으로 추정한 가로구간별 자전거 통행량(20 m 버퍼 집계),sensor-GPS-video,forward,청각 특성(특히 noise intensity·sound quality)이 시각 특성보다 자전거 통행량에 더 강한 영향을 보였고 soundscape eventfulness는 역U자형 비선형 효과를 보였으며 자연음은 고소음의 부정적 영향을 완화했다,NR (SHAP 전역·국소 중요도와 부분의존곡선으로만 제시; 가로유형별 통행량 차이는 ANOVA ***p < 0.001)
1115,FINAL_INCLUDE,2025,PLOS ONE,Does noise pollution influence modal choices? A random forest application,United Kingdom; Australia,street,sensor-bigdata,NR (census commuting flows for Greater London and Brisbane),"modelled environmental noise levels (noise maps) intersected with commuting itineraries, together with built-environment density, land-use and amenity variables",movement,"commuting travel mode choice (walk, bicycle, car) and route-level noise exposure",secondary big data (census travel-to-work flows + modelled noise maps),forward,"Noise levels were among the relevant predictors of commuting mode choice in Greater London (crossing quieter roads mattered more than crossing loud ones) while built-environment characteristics dominated in Brisbane, and cycling patterned more like driving than like walking.",NR
1121,UNCERTAIN,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort ev,China,campus,mixed,NR (Table 3 응답자 기술통계가 발췌에 미포함),"캠퍼스 옥외 5개 공간(가로 2·광장·수변·잔디밭)의 실측 음환경 — AR844 소음계(30-130 dBA)로 LAeq 측정, RayMan PET와 동시 기록",activity,설문으로 수집한 신체활동수준(PAL)과 7점 척도 음향쾌적감(ACV)·열쾌적감(TCV)·전반쾌적감(OCV),self-report,reverse,신체활동수준(PAL)을 적정 수준으로 낮추면 음향쾌적감·열쾌적감·전반쾌적감이 모두 향상되었고 PET 30.1도에서 음향지각이 가장 쾌적했다,NR
1122,FINAL_INCLUDE,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive,UK (저자 소속 UCL 기준; 참가자 국적 NR),VR-lab,lab-VR-experiment,NR (12개 시나리오 배정; 템포 허용범위 예비조사 10명),Unity3D 가상 도시공원에서 새소리와 분수 물소리를 각각 느림(30% 압축)·보통·빠름(30% 연장) 템포로 조작하고 NPC 저밀도·고밀도 조건 교차(총 12 시나리오),social; movement,가상공간 자유이동 중 NPC와의 상호작용 행태 기록과 설문 기반 사회적 상호작용 의향(willingness for social interaction),self-report,forward,물소리 템포가 빠를수록 중·상 수준 사회적 조건을 가진 참가자의 사회적 상호작용 의향이 유의하게 증가한 반면 새소리 템포 변화는 유의한 효과가 없었다,사회적 조건 상위군이 상호작용 의향 over 11 % greater; 그 외 통계량은 발췌에 없음
1138,UNCERTAIN,2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of,"Vietnam (field data, Ho Chi Minh City); anechoic-chamber measurements in Japan",street,mixed (roadside video plus sound-level-meter observation of traffic; structured interviews; controlled anechoic-chamber horn experiment),"30 interviewees (10 motorcycle taxi drivers, 20 university student commuters); traffic recordings on Hoang Van Thu Street","Motorcycle horn use patterns: attention signals P1-P3 (single/double/triple presses of 0.5-0.7 s, 0.3-0.5 s intervals) and warning signals P4-P6 (press >1 s; multiple short presses ending in a continuous press); 125 cc electromechanical diaphragm horn driven in an anechoic chamber",activity; social,"Horn-use pattern typology (number of presses, press duration, inter-press interval) derived from rush-hour video/SLM recording and interviews; resulting sound pressure level and one-third octave spectra per pattern",observation (HD video plus calibrated sound level meter RION NL-28) and self-report (structured interviews),reverse,"Culturally shaped repeated and prolonged horn-pressing behaviour raises sound pressure levels by up to 17 dB over a standard single press and shifts frequency content, so driver signalling behaviour is a main determinant of congested-street noise exceeding WHO daytime guidance",Up to 17 dB increase in SPL versus standard horn use; no inferential statistics reported (NR)
1141,UNCERTAIN,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts me",China (Hong Kong),residential,survey,683,"근린 소음공해와 대기오염, 객관적(Sentinel-2 NDVI)·주관적 녹지 노출의 결합 효과",activity; space-use,구조방정식의 매개변수인 신체활동과 녹지의 지각된·실제 이용(perceived and real usage of greenspace),self-report,forward,신체활동은 녹지·대기오염·소음공해와 정신건강 사이를 유의하게 매개했고 총효과는 녹지가 가장 크고 대기오염·소음공해 순이었다,NR (SEM 표준화계수 β와 부트스트랩 SE가 Fig. 3·Table 2-3에 제시되나 발췌에 수치 없음)
1149,FINAL_INCLUDE,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos,NR (저자 소속 Malaysia·China; 조사도시 미명시),park (도심 quiet art installation 3개소),mixed,NR,"사운드 완화 설계가 적용된 Silent Art Landscapes — 방음 지형(berm·earth mound), 음 확산 반사면, 앰비언트 사운드아트 설치; 개입구역 대 대조구역 음압레벨 비교와 사운드스케이프 히트맵",space-use; activity,"현장 행태관찰 기록과 설치물별 참가자 아트 상호작용 빈도(art interaction frequencies), PRS 회복환경 점수 병행",observation,forward,사운드 완화가 적용된 개입구역은 대조구역보다 음압레벨이 낮고 PRS 회복성 점수가 유의하게 높았으며 설치물별 참가자 아트 상호작용 빈도가 함께 기록되었다(행태 효과 방향·크기 수치는 미제시),NR
1174,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,China,street,sensor-bigdata,NR (선전시 대규모 공유자전거 통행 데이터; 건수 발췌 미기재),SVI 기반 예측 사운드스케이프 지표(sound intensity·perceived pleasant sound·sound quality·자연음 지각)와 지각 스트리트스케이프(안전·미관·활기); 예측 음강도는 현장 실측치와 상관 검증,movement; activity,공유자전거 이용량(셀 단위 bikeshare 통행량·OD 패턴),sensor-GPS-video,forward,거시 건조환경이 여전히 지배적이지만 미시 사운드스케이프가 시각 지각보다 자전거 이용량 설명력이 컸고 지각 안전과 자연음 지각이 동시에 높은 시청각 일관성 구간에서 이용 증가가 더 뚜렷했다,NR (사운드스케이프 변수를 추가한 Model 4의 설명력 증가와 SHAP 국소의존곡선으로 제시; 수치는 발췌에 없음)
1177,FINAL_INCLUDE,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaï",Algeria,street,"mixed (LAeq acoustic measurement plus soundwalks, sound diaries and mental maps, ISO 12913 protocol)",50 sound-diary participants; 58 soundwalk participants,"In-situ urban soundscape of five morphologically distinct zones in the old city and lower city (LAeq measured); natural, social/human and mechanical (traffic) sound components; morning versus afternoon variation",movement; space-use,Reported avoidance of mechanically noisy streets; walking pleasantness and sound comfort ratings along predefined itineraries; weekly sound-perception heat maps by zone; mental maps of routes and sound,"self-report (soundwalk questionnaire, sound diary, mental map) plus sensor (integrating sound level meter, LAeq)",forward,"Natural and social sounds increased perceived comfort and safety whereas mechanical noise was associated with discomfort and avoidance behaviour in those streets, and sound comfort was moderately positively correlated with walking pleasantness","Morning: sound comfort vs visual perception rho = 0.58, p = 0.001, 95% CI [0.27; 0.80]; sound comfort vs walking pleasantness rho = 0.40, p = 0.033, 95% CI [0.05; 0.67]"
1178,FINAL_INCLUDE,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urba,China,waterfront,field-experiment,NR,"hidden-loudspeaker playback of light music (100.99 bpm) or highly annoying fan sound versus no sound, crossed with presence/absence of sewage odour on a 40 m x 4 m park walkway",movement; staying,"crowd path position (approach to or recession from the source, ordinate y at path intersections), average crowd speed, duration time in the area",observation (grid-based behaviour observation),forward,"Music attracted crowds toward the source, significantly reduced walking speed and increased duration, whereas fan sound and sewage odour drove crowds away, raised speed and shortened duration; odour strengthened the approach/recede trends but the positive effect of music exceeded the negative effect of odour.",NR
1202,UNCERTAIN,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban o,China (Hong Kong),residential,mixed,"NR (4-6인 그룹 soundwalk; 4개 공공주택단지 4개 루트 x 오전·오후·저녁 3세션, 참가자 수는 Table 2로 발췌 미포함)","공공주택단지 옥외 미시 기능공간(sitting-out area·놀이터·동선공간)의 음환경 — 정류점별 1분 바이노럴 녹음(B&K Type 4101 + 2270), 음원 지배도·라우드니스와 GoPro Max 360 파노라마 시각지표",activity; space-use,기능공간 유형별로 진행 중이던 활동·이벤트(예: 놀이터의 아이들 노는 소리)를 예측변수로 반영; 행태 자체의 정량 아웃컴은 없음,observation,reverse,"미시 기능공간 유형과 그곳에서 진행되는 활동이 사운드스케이프 평가를 크게 바꾸어 놀이터의 아이들 노는 소리는 활기와 사운드스케이프 품질을, sitting-out area의 나뭇잎 소리는 전반 품질을 높였다",NR (Table 5에 유의한 비표준화·표준화 회귀계수가 제시되나 발췌에 수치 없음)
1211,FINAL_INCLUDE,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad,Argentina,street,field-observation,1 dyad (시각장애 어머니-자녀 2인) 단일사례,"도시 보행 중 서로 다른 음향 맥락(교통·도시 소음 환경, 대화(speech) 활동 유무)",movement; social,"영상 코딩한 모자 동반보행 시계열 — 보행속도, 동조·비동조 걸음 구간, chromatic recurrence 지표(REC·MaxLV·TTV·ENTV)",observation,forward,모자는 자발적 걸음 동조를 보였고 동조 구간은 더 짧고 예측가능한 반면 비동조 구간은 더 길고 덜 예측가능했으며 보행속도는 발화(speech) 활동에 따라 달라졌다,NR (REC·MaxLV·TTV·ENTV는 95% CI 오차막대로만 제시)
1221,FINAL_INCLUDE,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets,China,street,mixed,315,"상업가로 5개 구역(S1-S5)의 음환경 — BSWA308 실측 LAeq·L10·L50·L90·Sudden sound pressure와 지각 사운드스케이프(eventfulness·calmness·chaoticness), 음원 유형별 라우드니스·발생빈도·선호",staying; space-use,경제행태 5지표 중 대기시간(Queuing time)과 360도 파노라마 영상 픽셀그리드로 산출한 군중밀도(CPD4·CPD8·CPD12·CFD); 나머지 3지표는 소비의향·추천·재방문 의향,self-report,forward,객관 음향지표(LAeq·L10·L50·L90)와 지각 사운드스케이프 차원이 대기시간을 포함한 경제행태 지표와 유의하게 연관되었고 파사드 군중밀도(CFD)와 Sudden sound pressure가 가장 견고한 예측변수였다,"NR (Spearman rank correlation·CATREG 결과가 Fig. 6-9·Table 2-4에 있으나 발췌에 계수 없음; 요인분석 Factor 1 33.96%, Factor 3 8.62%)"
1226,FINAL_INCLUDE,2026,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's,Bulgaria,residential,survey,4640,도로교통소음 Lden(50 m 격자·supervised XGBoost 모델 예측)과 PM2.5(25 m)를 300 m·1000 m 버퍼 walkability·녹지·수변·지역 SES·가정 정원과 함께 동시 투입한 주거지 옥외 환경 노출,activity,"IPAQ-SF 자기보고 주당 vigorous·moderate·walking 시간(분/주)과 WHO 권고 충족 이분지표(VPA ≥75 min/wk, MVPA ≥150 min/wk, walking ≥150 min/wk)",self-report,forward,walkability·녹지·지역 SES·가정 정원 등이 신체활동과 정적으로 연관된 가운데 도로교통소음과 대기오염은 예상과 달리 일부 신체활동 형태와 정적(positive)으로 연관되었다,NR (Fig. 1 연관성 그림·회귀 결과 언급되나 발췌에 계수·CI 수치 없음)
1232,UNCERTAIN,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with E,"UK (UCL-run online focus groups; participants from Turkiye, Germany, UK, Italy, Ireland, Switzerland)",street,survey (online expert focus groups with deductive thematic analysis),"12 experts (Turkish cohort n = 6, international cohort n = 6); pilot n = 12 excluded from analysis","Street soundscape components discussed by experts: natural sounds, traffic/mechanical noise, silence, religious and cultural soundmarks, temporal variation (morning vs night, events), street geometry and greenery",movement; social; space-use,"Thematically coded pedestrian behaviour: mobility and route choices, coping strategies, social interactions, and reported use of space (theme referenced by n = 10 of 12 participants)","self-report (focus group transcripts, thematic coding)",forward,"Experts reported that street soundscapes shape pedestrian mobility choices, coping strategies and social interaction, with silence perceived as either safe or unsafe depending on pedestrian density; direction is qualitative and no effect magnitude is given",NR (qualitative thematic analysis; behaviour theme referenced by 10 of 12 participants; 7 of 10 Healthy Streets metrics referenced)
1242,FINAL_INCLUDE,2026,LANDSCAPE ARCHITECTURE FRONTIERS,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Rest,China,waterfront,survey (field questionnaire),201 valid of 230 distributed,"dominant perceived sounds (sea waves, wind, traffic and other mechanical/anthropogenic sounds) and measured ambient LAeq (BSWA801; responses above 73 dBA excluded)",staying; activity; space-use,"self-reported visit duration, visit frequency, visit purpose and activity intensity",self-report,reverse,"Behavioural patterns (visit duration, frequency and activity intensity) were significantly associated with all four perceived soundscape restorativeness components, and individual/behavioural factors outweighed sound characteristics in determining Fascination, Being-away and Compatibility.",NR
1258,FINAL_INCLUDE,2026,URBAN SCIENCE,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Beh,China,square,mixed,NR,"개방도(밀폐·반밀폐·개방)가 다른 그린웨이 광장 6곳의 음환경 — LAeq_5min·L10 실측(밀폐형 광장 최고), 자연음·인공음·교통소음 혼재, 설문 기반 청각평가(AE)",staying; social; activity,행태관찰로 기록한 single-person·one-to-one·multi-person 활동(특히 상호작용 활동)의 빈도와 지속시간,observation (+ self-report 설문·in-situ 음향/열환경 실측),forward,"밀폐형 광장에서는 AE 개선이 TE 개선보다 상호작용 활동 빈도를 더 크게 높인 반면, 반밀폐 광장에서는 AE가 상호작용 활동에 머무는 시간에 부정적 영향을 미쳤다",NR (Spearman correlation·linear regression 수행되었으나 발췌에 수치 없음)
1272,FINAL_INCLUDE,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI,Perception and response of cyclists interacting with autonomous electric vehicles - a virt,Netherlands,VR-lab,lab-VR-experiment,40,"VR 자전거 시뮬레이터 18개 시나리오 — 환경소음 2수준(조용한 주거지 vs 소음 많은 가로), 차량-신호 조건 3수준(ACV+시각 eHMI / AEV+시각 eHMI / AEV+시각 eHMI+추가 청각경고), eHMI 작동거리 3수준(15·20·25 m)",movement,반응 시점의 차량-자전거 거리(response position)·반응 완료 위치·최대 감속도(max deceleration)·노변 경고음원 방향 head orientation의 방향과 지속시간,sensor-GPS-video,forward,"시각 eHMI만 있는 차량 대비 추가 청각경고를 갖춘 AEV에서 자전거 이용자가 차량을 더 일찍 탐지하고 더 빨리 반응했으며 감속이 더 완만해졌고, 환경소음 수준의 주효과도 유의했다",NR (Table 5에 environmental noise level·vehicle-signal condition·trigger distance의 고정효과와 상호작용 보고되나 발췌에 수치 없음)
1280,FINAL_INCLUDE,2026,BUILDINGS,Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and ,China,square,mixed,"241 (설문) / 9,000 관찰 사진 / 10 공간","농촌 마을 공공공간 10곳(나무 아래·광장·서비스센터 앞·도로·주택 주변)의 복합 감각환경 — AWA5636으로 5분 LAeq 측정, 음원 7유형 분류 기반 Natural Sound Index(NSI = 자연음 비율 − 소음 비율), 열·시각(GVI·SVI)·후각(OI) 환경 병행 측정",staying; space-use; social,"6:00–20:00·14일간 10분 간격 고정지점 촬영 9,000장으로 코딩한 행태 유형(사회활동 등)과 공간별 시공간 분포, MLP 예측 대상인 체류시간(dwell time)",observation (+ self-report 설문 N=241·현장 환경 실측),forward,"노인의 지배적 행태는 광장 등 조성공간에서 나타난 사회활동(81.12%)이었고, 체류시간 예측 MLP에서 음량 지각(중요도 100%)과 Natural Sound Index(92.1%)가 시각 미관(89.3%)보다 앞선 핵심 예측변수였다","MLP prediction accuracy 85.3% (dwell time) / 93.1% (satisfaction); variable importance: volume perception 100%, NSI 92.1%, visual aesthetics 89.3%; visual aesthetics on behaviour type p = 0.013"
1306,FINAL_INCLUDE,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling ,China,street,sensor-bigdata,"NR (KEEP 앱 2023년 7월 크라우드소싱 자전거 GPS 궤적; SVI 표본점 24,529개)","Baidu 스트리트뷰 이미지에 사전학습 딥러닝을 적용해 추정한 가로 단위 사운드스케이프 — 자연음 성분·기계음(교통) 성분·소음 강도, 시각 개방도·지각된 안전·미관 등 시청각 지표와 POI·가로망 built environment 지표 동시 투입",movement; space-use,가로 구간(street segment)별 자전거 통행량(cycling volume) — KEEP 피트니스 앱 GPS 궤적 집계,sensor-GPS-video,forward,"시각 개방도가 크고 자연음 존재가 강하며 소음 강도가 낮고 지각 안전이 높은 가로일수록 자전거 통행량이 뚜렷하게 많았으며, 음향 변수는 변수별 임계값·포화가 있는 비선형 관계를 보였다",NR (XGBoost 변수 상대중요도·partial dependence plot로만 제시되고 발췌에 수치·효과크기 없음)
