sid,verdict,reason_code,note,doi,title,year,journal
290,EXCLUDE,E5,가상세계 지식공학 논평,10.1111/j.1468-0394.2009.00556_1.x,Wellcome Trust: we want the missing manual for the brain,2010,Expert Systems
291,EXCLUDE,E5,학술지 호 소개란,10.1111/j.1468-0394.2010.00556_4.x,In this issue,2010,Expert Systems
292,EXCLUDE,E5,감각 민족지 영화 리뷰,10.1111/var.12292,Bela: Sensory Ethnography,2023,Visual Anthropology Review
293,EXCLUDE,E5,엘리엇 전기 도서 서평,10.1215/0041462x-3485104,"<i>Young Eliot: From St. Louis to “The Waste Land,”</i> by Robert Crawford",2016,Twentieth Century Literature
294,EXCLUDE,E2,실내 피트니스시설 배치·관리 칼럼,10.1249/fit.0000000000000356,Facility Layout and Maintenance Concerns,2018,ACSMʼs Health & Fitness Journal
295,EXCLUDE,E5,연극 공연 리뷰,10.5325/eugeoneirevi.36.2.0235,Anna Christie,2015,The Eugene O Neill Review
296,EXCLUDE,E5,청소년소설 도서 서평,10.5406/15549399.58.1.14,Invigorating the Latter-day Saint Pioneer Woman Narrative,2025,Dialogue A Journal of Mormon Thought
297,EXCLUDE,E5,폭염·심혈관 전문가 인터뷰,10.1093/eurheartj/ehac715,Too hot to handle? The effects of extreme heat on cardiovascular health,2022,European Heart Journal
298,EXCLUDE,E5,언어교육 논문 초록 모음,10.1017/s0261444806223851,Language learning,2006,Language Teaching
299,RETRIEVE,,"청각과민자 소리 회피행동, 세팅·문헌유형 확인 필요",10.1097/01.hj.0001094988.49033.64,Situations Avoided by People with Hyperacusis,2024,The Hearing Journal
300,EXCLUDE,E5,록 문화 젠더 재론 에세이,10.1525/jpms.2019.313006,"Feminizing Rock Culture: A Revisit of Norma Coates’s “Teenyboppers, Groupies, and Other Grotesques”",2019,Journal of Popular Music Studies
301,EXCLUDE,E5,과학소통 인터뷰 기사,10.1002/lob.10374,Connecting the Public to Science through Wonder,2020,Limnology and Oceanography Bulletin
302,EXCLUDE,E5,음악학 도서 서평,10.1525/jams.2018.71.1.268,"Review: In Search of Julián Carrillo and Sonido 13, by Alejandro L. Madrid",2018,Journal of the American Musicological Society
303,EXCLUDE,E5,고래 노래 연구자 부고,10.1111/mms.13172,Roger Payne 1935–2023,2024,Marine Mammal Science
304,EXCLUDE,E5,연극 공연 리뷰,10.5325/thorntonwilderj.2.2.0239,"The Alcestiad, Magis Theatre Company, New York, New York",2021,Thornton Wilder Journal
305,EXCLUDE,E5,청각기기 업계 뉴스란,10.1097/01.hj.0000281795.15207.a4,MANUFACTURERS NEWS,2007,The Hearing Journal
306,EXCLUDE,E6,양자컴퓨팅 안과 적용 서한,10.4103/ijo.ijo_197_24,Quantum leap: Exploring uncharted territories in ophthalmology with a wink and a qubit,2024,Indian Journal of Ophthalmology
307,EXCLUDE,E5,소설 목소리 문학비평,10.7245/0026-2005-41.1.38,Intoning the Male and Female Voices in a Novel by Eva Figes,2012,Michigan Academician
308,EXCLUDE,E5,대중음악 청취 논고,10.1525/jpms.2024.36.4.5,"Listening, Elsewhere and Otherwise",2024,Journal of Popular Music Studies
309,EXCLUDE,E5,사운드아트 설치 기록,10.1111/anhu.70036,“Queer Sonic Fingerprint”—Listening to speculative queer relations in ethnographic collections,2025,Anthropology & Humanism
310,EXCLUDE,E5,실내 청취환경 설계 칼럼,10.1097/01.hj.0000403507.95712.4a,Environmental design enhances hearing rehabilitation,2011,The Hearing Journal
311,EXCLUDE,E5,청각기기 업계 뉴스란,10.1097/01.hj.0000314725.18489.de,MANUFACTURERS NEWS,2008,The Hearing Journal
312,EXCLUDE,E6,제2언어 습득 신경인지 모델,10.29038/eejpl.2017.4.2.got,A Neurocognitive Perspective on Language Acquisition in Ullman’s DP Model,2017,East European Journal of Psycholinguistics
313,EXCLUDE,E5,연극 공연 리뷰,10.5325/eugeoneirevi.33.1.0126,Review,2012,The Eugene O Neill Review
314,EXCLUDE,E5,민족음악학회 강연록,10.5406/21567417.67.2.03,"Seeger Lecture, Society for Ethnomusicology Virtual Meeting 2021",2023,Ethnomusicology
315,EXCLUDE,E5,음향 작품 해설,10.1162/comj.a.687,Sound and Video Anthology: Program Notes,2024,Computer Music Journal
316,EXCLUDE,E5,종교지 개인 에세이,10.5406/15549399.57.4.05,"Bringing the Yankee Home: A Gay Mormon, Three Decades on",2024,Dialogue A Journal of Mormon Thought
317,EXCLUDE,E5,음량·강도 음향학 칼럼,10.1097/01.hj.0000405462.70270.bb,Loud vs. intense: Three ways to delude the musician,2011,The Hearing Journal
318,EXCLUDE,E5,영화 음악 분석 논고,10.1093/musqtl/gdaf002,Evoking Joan of Arc’s Soundworld in Jacques Rivette’s <i>Jeanne la Pucelle</i> (1994): Authenticity versus Cinematic Musical Convention,2024,The Musical Quarterly
319,EXCLUDE,E5,드라마 삽입음악 분석,10.5406/19452349.41.4.04,"Community, Morality, and Diegetic Music in <i>Little House on the Prairie</i>",2023,American Music
320,EXCLUDE,E5,공연예술 작가론 평론,10.1162/pajj_a_00698,Reckoning with Wreckage: The Work of Nancy Tam,2024,PAJ A Journal of Performance and Art
321,EXCLUDE,E5,영화 청취성 분석 논고,10.1093/screen/hjae018,Visibility displaced: lesbian aurality and disruptive self-naming in <i>Sukkar banat/Caramel</i> and <i>Three Centimetres</i>,2024,Screen
322,EXCLUDE,E3,"대기오염·장내미생물 연구, 음환경 없음",10.1002/imo2.70099,The mediating roles of gut microbiota in the associations of air pollution and meteorological factors with metabolic syndrome,2026,iMetaOmics.
323,EXCLUDE,E5,트웨인 후각 서사 문학비평,10.5406/19405103.57.3.03,"Twain's Olfactory Gags: Realist Atmospheres, Fermentation, and the Necrobiome",2025,American Literary Realism
324,EXCLUDE,E5,오페라 리허설 인문학 논고,10.1093/oq/kbad003,Rehearsing Callas,2021,The Opera Quarterly
325,EXCLUDE,E6,지진 전조 유체 데이터셋,10.3389/feart.2026.1868566,A global dataset of fluid-based pre-seismic anomalies in crustal environments,2026,Frontiers in Earth Science
326,EXCLUDE,E5,홉킨스 시 비평,10.1093/litimag/imad006,Hopkins’s Clouded Judgment,2023,Literary Imagination
327,EXCLUDE,E5,밀턴 시 비평,10.1111/milt.12428,<i>Paradise Regained</i> and the Prospects of Enlightenment,2022,Milton Quarterly
328,EXCLUDE,E5,뇌파·공연 에세이,10.1162/pajj_a_00708,The Theatre of Your Mind &amp;#x2028;(For Real),2024,PAJ A Journal of Performance and Art
329,EXCLUDE,E5,물리학지 신간 목록,10.1063/1.2405596,New books,2005,Physics Today
